CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKAPLAPOLLO26-MAY-2026,1914.0000000,1932.0000000,1981.5000000,1932.0000000,1981.5000000,1981.5000000,3.5200000,72.0000000,1050.0000000,3.0000000,2052575.0000000
FUTSTKAPLAPOLLO30-MAR-2026,1899.3000000,1949.7000000,1972.1000000,1900.1000000,1967.9000000,1967.9000000,3.6100000,14082.0000000,675850.0000000,1931.0000000,1312271485.0000000
FUTSTKAPLAPOLLO28-APR-2026,1907.5000000,1925.3000000,1982.6000000,1913.1000000,1979.4000000,1979.4000000,3.7600000,241.0000000,30100.0000000,86.0000000,58652580.0000000
FUTSTKAUROPHARMA28-APR-2026,1286.6000000,1290.2000000,1302.8000000,1287.6000000,1297.3000000,1297.3000000,0.8300000,802.0000000,336050.0000000,611.0000000,435913610.0000000
FUTSTKAUROPHARMA30-MAR-2026,1280.6000000,1288.7000000,1295.9000000,1275.9000000,1289.8000000,1289.8000000,0.7100000,37898.0000000,1464650.0000000,2663.0000000,1887379065.0000000
FUTSTKAUROPHARMA26-MAY-2026,1293.4000000,0.0000000,0.0000000,0.0000000,,1299.6000000,0.4700000,29.0000000,0.0000000,0.0000000,0.0000000
FUTSTKCOALINDIA30-MAR-2026,460.7500000,462.0000000,466.0000000,458.3500000,462.6000000,462.6000000,0.4000000,33217.0000000,11709900.0000000,8674.0000000,5413314307.5000000
FUTSTKCOALINDIA26-MAY-2026,465.3000000,466.5000000,470.0000000,463.9500000,467.1000000,467.1000000,0.3800000,167.0000000,91800.0000000,68.0000000,42879442.5000000
FUTSTKCOALINDIA28-APR-2026,463.5000000,462.1000000,468.7000000,461.5000000,465.9000000,465.9000000,0.5100000,4426.0000000,1107000.0000000,820.0000000,515125777.5000000
FUTSTKCOFORGE30-MAR-2026,1084.1000000,1084.5000000,1084.5000000,1008.0000000,1074.1000000,1074.1000000,-0.9200000,67575.0000000,9507375.0000000,25353.0000000,9939219187.5000000
FUTSTKCOFORGE26-MAY-2026,1092.8000000,1070.0000000,1086.5000000,1020.0000000,1080.0000000,1080.0000000,-1.1700000,548.0000000,149250.0000000,398.0000000,157482112.5000000
FUTSTKCOFORGE28-APR-2026,1090.7000000,1090.5000000,1090.5000000,1015.1000000,1079.4000000,1079.4000000,-1.0300000,4292.0000000,1284750.0000000,3426.0000000,1349561737.5000000
FUTSTKHEROMOTOCO28-APR-2026,5312.0000000,5312.0000000,5423.5000000,5270.0000000,5395.0000000,5395.0000000,1.5600000,560.0000000,34050.0000000,227.0000000,182915925.0000000
FUTSTKHEROMOTOCO30-MAR-2026,5293.5000000,5280.5000000,5397.0000000,5246.0000000,5371.0000000,5371.0000000,1.4600000,23535.0000000,635550.0000000,4237.0000000,3398065725.0000000
FUTSTKHEROMOTOCO26-MAY-2026,5354.0000000,5392.5000000,5437.0000000,5364.0000000,5412.0000000,5412.0000000,1.0800000,51.0000000,3300.0000000,22.0000000,17849700.0000000
FUTSTKINDUSINDBK28-APR-2026,828.4000000,826.8500000,828.9000000,810.0500000,825.9500000,825.9500000,-0.2900000,8053.0000000,1052100.0000000,1503.0000000,859921755.0000000
FUTSTKINDUSINDBK30-MAR-2026,822.5500000,828.0000000,828.0000000,804.7000000,820.7500000,820.7500000,-0.2100000,54323.0000000,5120500.0000000,7315.0000000,4169213580.0000000
FUTSTKINDUSINDBK26-MAY-2026,832.0000000,823.0000000,831.5000000,816.0000000,831.0000000,831.0000000,-0.1200000,512.0000000,56700.0000000,81.0000000,46709600.0000000
FUTSTKMOTHERSON30-MAR-2026,113.2100000,114.5100000,115.6800000,112.7700000,115.1100000,115.1100000,1.6700000,20808.0000000,24975150.0000000,4061.0000000,2859912913.5000000
FUTSTKMOTHERSON26-MAY-2026,114.3100000,115.4700000,116.5500000,114.0400000,116.3900000,116.3900000,1.8100000,218.0000000,258300.0000000,42.0000000,29832112.5000000
FUTSTKMOTHERSON28-APR-2026,113.7500000,115.2900000,116.2500000,113.3700000,115.6500000,115.6500000,1.6700000,835.0000000,2878200.0000000,468.0000000,331635121.5000000
FUTSTKONGC26-MAY-2026,264.1500000,263.8500000,268.6000000,263.8000000,267.8500000,267.8500000,1.4000000,207.0000000,47250.0000000,21.0000000,12550387.5000000
FUTSTKONGC30-MAR-2026,261.3000000,261.9000000,265.8500000,260.4500000,265.2500000,265.2500000,1.5100000,50883.0000000,18526500.0000000,8234.0000000,4868339175.0000000
