CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKBAJFINANCE26-MAY-2026,954.5500000,951.0500000,952.1500000,901.8500000,904.6000000,904.6000000,-5.2300000,312.0000000,154500.0000000,206.0000000,142050112.5000000
FUTSTKBAJFINANCE28-APR-2026,949.9000000,942.8000000,948.6000000,896.4500000,901.0000000,901.0000000,-5.1400000,3633.0000000,1233000.0000000,1644.0000000,1125811875.0000000
FUTSTKBAJFINANCE30-MAR-2026,943.9500000,942.0000000,942.9500000,890.5000000,894.1000000,894.1000000,-5.2800000,97370.0000000,11101500.0000000,14802.0000000,10071654075.0000000
FUTSTKBEL28-APR-2026,468.4000000,469.0000000,473.4500000,457.9000000,458.6500000,458.6500000,-2.0800000,4375.0000000,1600275.0000000,1123.0000000,741745346.2500000
FUTSTKBEL30-MAR-2026,465.4500000,464.2000000,470.7000000,455.0000000,455.8000000,455.8000000,-2.0700000,70098.0000000,15492600.0000000,10872.0000000,7136884428.7500000
FUTSTKBEL26-MAY-2026,470.0500000,472.0500000,476.8000000,460.8500000,461.7000000,461.7000000,-1.7700000,1921.0000000,430350.0000000,302.0000000,200756351.2500000
FUTSTKCOALINDIA26-MAY-2026,450.6500000,452.0000000,460.0000000,451.5000000,453.5000000,453.5000000,0.6300000,136.0000000,78300.0000000,58.0000000,35669835.0000000
FUTSTKCOALINDIA28-APR-2026,447.5000000,451.9500000,458.0000000,449.0000000,451.2500000,451.2500000,0.8300000,3887.0000000,913950.0000000,677.0000000,413763525.0000000
FUTSTKCOALINDIA30-MAR-2026,445.1500000,447.4000000,455.1500000,445.9000000,448.4500000,448.4500000,0.7400000,30509.0000000,12513150.0000000,9269.0000000,5633081415.0000000
FUTSTKEICHERMOT30-MAR-2026,7566.0000000,7586.0000000,7586.0000000,7254.0000000,7277.5000000,7277.5000000,-3.8100000,30887.0000000,496500.0000000,4965.0000000,3669584500.0000000
FUTSTKEICHERMOT26-MAY-2026,7658.5000000,7610.0000000,7648.0000000,7352.0000000,7363.5000000,7363.5000000,-3.8500000,131.0000000,3100.0000000,31.0000000,23168950.0000000
FUTSTKEICHERMOT28-APR-2026,7609.0000000,7630.0000000,7630.0000000,7303.0000000,7324.5000000,7324.5000000,-3.7300000,1104.0000000,34700.0000000,347.0000000,257955200.0000000
FUTSTKETERNAL30-MAR-2026,227.6600000,227.0000000,228.4700000,223.5100000,224.0000000,224.0000000,-1.6000000,106712.0000000,20738600.0000000,8552.0000000,4687267586.2500000
FUTSTKETERNAL28-APR-2026,229.1600000,227.8000000,230.0000000,225.0000000,225.4500000,225.4500000,-1.6100000,10311.0000000,2155825.0000000,889.0000000,490046328.0000000
